Time,AgeStart,Age,Deaths,Population
1984,25,25-29,32387,12609554
1984,30,30-34,28695,9795691.5
1984,35,35-39,31096,8345109.500000000
1984,40,40-44,39455,7919222.5
1984,45,45-49,50064,7243568
1984,50,50-54,61770,6100300
1984,55,55-59,72336,4834379
1984,60,60-64,83855,3528598.5
1984,65,65-69,98883,2623945.5
1984,70,70-74,116045,1871879.5
1984,75,75-79,104144,1051083.5
1984,80,80-84,68213,445673.5
1984,85,85-89,29639,128976
1984,90,90-94,7767,24255
1984,95,95-99,1208,2774.5
1984,100,100,120,216.5
1985,0,0-4,507947,22919634.5
1985,5,5-9,39623,21384709
1985,10,10-14,24727,19875811
1985,15,15-19,34354,18214097.5
1985,20,20-24,37959,15810354.5
1985,25,25-29,32377.000000000000,13146217
1985,30,30-34,29083,10331064.5
1985,35,35-39,30293,8423546.5
1985,40,40-44,38508,7969617
1985,45,45-49,49797,7379560.5
1985,50,50-54,62322,6279764.5
1985,55,55-59,74149,5033411.5
1985,60,60-64,86228,3679083
1985,65,65-69,99841,2679383
1985,70,70-74,117905,1917264
1985,75,75-79,107933,1096609.5
1985,80,80-84,71630,470274.5
1985,85,85-89,31317,136697
1985,90,90-94,8282,25908.5
1985,95,95-99,1285,2950.5
1985,100,100,127,227
1986,0,0-4,479939,22822755.5
1986,5,5-9,38713,21656442
1986,10,10-14,24373,20137260
1986,15,15-19,34431,18573156
1986,20,20-24,38452,16288232
1986,25,25-29,33136,13675260.5
1986,30,30-34,30127,10864486
1986,35,35-39,30460,8590596
1986,40,40-44,38373,8027895.5
1986,45,45-49,50220,7491229.5
1986,50,50-54,63774,6460202.5
1986,55,55-59,76682,5222664.5
1986,60,60-64,89818,3847845.5
1986,65,65-69,102002,2747686
1986,70,70-74,119923,1956257
1986,75,75-79,112106,1142517
1986,80,80-84,75085,494415
1986,85,85-89,33159,145139.5
1986,90,90-94,8825,27654
1986,95,95-99,1364,3134
1986,100,100,132,236.5
1987,0,0-4,457410,22649298.5
1987,5,5-9,37731,21923310.5
1987,10,10-14,23984,20394983.5
1987,15,15-19,34405,18895053
1987,20,20-24,38871,16757525.000000000
1987,25,25-29,33807,14192893.5
1987,30,30-34,31119,11400862
1987,35,35-39,30893,8846418.5
1987,40,40-44,38226,8086955.5
1987,45,45-49,50463,7579709.5
1987,50,50-54,65187,6637480.5
1987,55,55-59,79053,5402336
1987,60,60-64,93711,4029754.5
1987,65,65-69,104714,2830474.5
1987,70,70-74,121664,1991256.5
1987,75,75-79,116149,1186762.5
1987,80,80-84,78551,518770
1987,85,85-89,35168,154321
1987,90,90-94,9380,29419.5
1987,95,95-99,1447,3325
1987,100,100,137,244.5
1988,0,0-4,439294,22478269
1988,5,5-9,36935,22156158.5
1988,10,10-14,23784,20656555
1988,15,15-19,34685,19209353
1988,20,20-24,39597,17206741
1988,25,25-29,34780,14694329
1988,30,30-34,32418,11938352
1988,35,35-39,31946,9198373
1988,40,40-44,38379,8143232.5
1988,45,45-49,50885,7649290
1988,50,50-54,66833,6805427
1988,55,55-59,81637,5575473.5
1988,60,60-64,98035,4218180
1988,65,65-69,108212,2928724.5
1988,70,70-74,123483,2026067
1988,75,75-79,119932,1227733
1988,80,80-84,82084,543731
1988,85,85-89,37295,164086.5
1988,90,90-94,9936,31204.5
1988,95,95-99,1535,3533
1988,100,100,141,252.5
1989,0,0-4,419920,22325103
1989,5,5-9,35240,22324796.5
1989,10,10-14,23015,20950888
1989,15,15-19,33862,19489078
1989,20,20-24,39001,17639717
1989,25,25-29,34476,15178689.5
1989,30,30-34,32561,12473884
1989,35,35-39,32367.000000000000,9661670
1989,40,40-44,37449,8186550
1989,45,45-49,50051,7705762.5
