Province,District,2016,2017,2018,2019,2020,2021
Kalimantan Timur,KOTA BONTANG,49,62,26,114,65,36
Kalimantan Timur,KOTA SAMARINDA,26,38,45,49,46,24
Kalimantan Timur,KUTAI BARAT,24,31,45,68,32,34
Kalimantan Timur,KUTAI KARTANEGARA,28,31,38,37,23,18
Kalimantan Timur,KUTAI TIMUR,40,41,46,50,34,19
Kalimantan Timur,MAHAKAM HULU,24,41,33,54,39,10
Kalimantan Timur,PASER,23,20,#N/A,46,37,22
Kalimantan Timur,PENAJAM PASER UTARA,29,28,35,38,36,10
Kalimantan Utara,BULUNGAN,42,58,47,67,34,17
Kalimantan Utara,KOTA TARAKAN,38,42,49,60,42,28
Kalimantan Utara,MALINAU,72,118,86,95,56,40
Kalimantan Utara,NUNUKAN,24,48,38,62,27,17
Kalimantan Utara,TANA TIDUNG,12,18,19,41,15,5
Sulawesi Utara,BOLAANG MONGONDOW,46,49,42,65,67,42
Sulawesi Utara,BOLAANG MONGONDOW SELATAN,42,73,80,103,53,33
Sulawesi Utara,BOLAANG MONGONDOW TIMUR,40,41,59,85,56,36
Sulawesi Utara,BOLAANG MONGONDOW UTARA,41,42,59,76,49,38
Sulawesi Utara,KEPULAUAN SANGIHE,35,76,38,57,31,11
Sulawesi Utara,KEPULAUAN TALAUD,30,35,37,67,65,28
Sulawesi Utara,KOTA BITUNG,47,80,63,82,59,41
Sulawesi Utara,KOTA KOTAMOBAGU,47,59,57,60,44,32
Sulawesi Utara,KOTA MANADO,87,112,120,130,71,56
Sulawesi Utara,KOTA TOMOHON,31,117,101,78,52,45
Sulawesi Utara,MINAHASA,37,39,40,59,37,29
Sulawesi Utara,MINAHASA SELATAN,45,50,44,72,37,19
Sulawesi Utara,MINAHASA TENGGARA,35,38,50,51,43,35
Sulawesi Utara,MINAHASA UTARA,46,41,41,71,63,36
Sulawesi Utara,KEP. SIAU TAGULANDANG BIARO,33,47,51,74,53,33
Gorontalo,BOALEMO,6,13,43,67,50,35
Gorontalo,BONE BOLANGO,59,62,86,114,89,69
Gorontalo,GORONTALO,22,27,84,106,47,53
Gorontalo,GORONTALO UTARA,45,21,57,88,66,36
Gorontalo,KOTA GORONTALO,40,55,70,86,46,34
Gorontalo,POHUWATO,30,41,58,85,59,34
Sulawesi Tengah,BANGGAI,22,46,92,89,68,34
Sulawesi Tengah,BANGGAI KEPULAUAN,26,45,52,69,41,16
Sulawesi Tengah,BANGGAI LAUT,31,47,98,53,65,43
Sulawesi Tengah,BUOL,17,13,29,43,29,24
Sulawesi Tengah,DONGGALA,31,37,35,54,27,21
Sulawesi Tengah,KOTA PALU,40,52,64,48,40,32
Sulawesi Tengah,MOROWALI,47,54,70,117,59,63
Sulawesi Tengah,MOROWALI UTARA,20,33,46,49,38,18
Sulawesi Tengah,PARIGI MOUTONG,24,34,37,43,40,18
Sulawesi Tengah,POSO,30,32,16,34,31,20
Sulawesi Tengah,SIGI,32,38,47,56,45,22
Sulawesi Tengah,TOJO UNA-UNA,36,53,131,55,45,20
Sulawesi Tengah,TOLI-TOLI,39,40,89,63,38,26
Sulawesi Selatan,BANTAENG,26,34,89,55,58,31
Sulawesi Selatan,BARRU,30,33,45,44,33,31
Sulawesi Selatan,BONE,20,34,46,52,35,29
Sulawesi Selatan,BULUKUMBA,28,35,39,47,29,29
Sulawesi Selatan,ENREKANG,17,28,58,31,24,17
Sulawesi Selatan,GOWA,41,47,60,71,34,40
Sulawesi Selatan,JENEPONTO,31,36,60,51,34,37
Sulawesi Selatan,KEPULAUAN SELAYAR,42,46,44,49,43,30
Sulawesi Selatan,KOTA MAKASSAR,54,69,146,102,73,43
Sulawesi Selatan,KOTA PALOPO,43,55,112,60,51,40
Sulawesi Selatan,KOTA PAREPARE,42,48,145,73,68,30
Sulawesi Selatan,LUWU,21,39,47,55,37,35
Sulawesi Selatan,LUWU TIMUR,21,26,36,46,36,21
Sulawesi Selatan,LUWU UTARA,27,42,64,60,32,27
Sulawesi Selatan,MAROS,30,32,60,59,38,35
Sulawesi Selatan,PANGKAJENE DAN KEPULAUAN,42,57,66,73,55,50
Sulawesi Selatan,PINRANG,30,35,61,47,35,40
Sulawesi Selatan,SIDENRENG RAPPANG,44,57,135,56,36,32
Sulawesi Selatan,SINJAI,34,42,41,67,43,30
Sulawesi Selatan,SOPPENG,23,31,53,50,33,17
Sulawesi Selatan,TAKALAR,31,47,105,72,47,44
Sulawesi Selatan,TANA TORAJA,20,26,33,39,21,15
Sulawesi Selatan,TORAJA UTARA,10,13,15,30,29,17
Sulawesi Selatan,WAJO,47,52,99,66,43,39
Sulawesi Barat,MAJENE,35,43,45,86,65,47
Sulawesi Barat,MAMASA,12,15,17,34,36,28
Sulawesi Barat,MAMUJU,36,43,43,70,46,36
Sulawesi Barat,MAMUJU TENGAH,18,29,33,66,33,40
Sulawesi Barat,PASANGKAYU,20,25,19,42,45,31
Sulawesi Barat,POLEWALI MANDAR,33,36,46,62,39,36
Sulawesi Tenggara,BOMBANA,28,36,37,77,97,23
Sulawesi Tenggara,BUTON,21,17,17,75,49,24
Sulawesi Tenggara,BUTON SELATAN,30,30,#DIV/0!,41,33,16
Sulawesi Tenggara,BUTON TENGAH,25,33,#DIV/0!,54,44,40
Sulawesi Tenggara,BUTON UTARA,21,23,39,39,19,7
Sulawesi Tenggara,KOLAKA,44,41,52,57,49,22
Sulawesi Tenggara,KOLAKA TIMUR,6,19,16,29,20,9
Sulawesi Tenggara,KOLAKA UTARA,33,14,30,35,33,24
Sulawesi Tenggara,KONAWE,46,44,41,47,22,10
Sulawesi Tenggara,KONAWE KEPULAUAN,20,44,#DIV/0!,43,68,29
Sulawesi Tenggara,KONAWE SELATAN,21,15,33,47,33,11
Sulawesi Tenggara,KONAWE UTARA,35,32,44,72,52,43
Sulawesi Tenggara,KOTA BAUBAU,40,47,41,48,49,34
Sulawesi Tenggara,KOTA KENDARI,41,41,46,48,34,34
Sulawesi Tenggara,MUNA,48,48,55,57,36,19
Sulawesi Tenggara,MUNA BARAT,13,15,#DIV/0!,57,36,29
Sulawesi Tenggara,WAKATOBI,19,18,24,40,14,7
Bali,BADUNG,19,22,24,34,22,16
Bali,BANGLI,10,10,10,16,5,7
Bali,BULELENG,31,35,39,40,32,28
Bali,GIANYAR,13,16,17,21,14,9
Bali,JEMBRANA,19,24,24,28,18,15
Bali,KARANGASEM,18,20,23,34,20,15
Bali,KLUNGKUNG,13,21,20,20,25,17
Bali,KOTA DENPASAR,37,41,49,45,33,21
Bali,TABANAN,17,18,15,28,18,12
NTB,BIMA,33,38,36,46,76,23
NTB,DOMPU,31,39,32,46,36,23
NTB,KOTA BIMA,32,37,86,38,14,32
NTB,KOTA MATARAM,22,28,28,46,42,21
NTB,LOMBOK BARAT,27,28,30,43,30,22
NTB,LOMBOK TENGAH,25,23,23,35,29,23
NTB,LOMBOK TIMUR,23,29,26,35,30,23
NTB,LOMBOK UTARA,27,33,35,44,41,22
NTB,SUMBAWA,27,31,32,45,29,22
NTB,SUMBAWA BARAT,28,32,38,56,41,25
NTT,ALOR,30,31,36,27,31,22
NTT,BELU,55,61,69,89,39,17
NTT,ENDE,29,26,50,67,24,18
NTT,FLORES TIMUR,13,17,21,25,26,15
NTT,KOTA KUPANG,43,42,34,38,49,35
NTT,KUPANG,21,28,30,42,19,10
NTT,LEMBATA,28,32,36,39,19,16
NTT,MALAKA,35,35,43,60,64,20
