Province,District,2016-Jan-Mar,2016-Apr-Jun,2016-Jul-Sep,2016-Oct-Dec,2017-Jan-Mar,2017-Apr-Jun,2017-Jul-Sep,2017-Oct-Dec,2018-Jan-Mar,2018-Apr-Jun,2018-Jul-Sep,2018-Oct-Dec,NA,2019-Jan-Mar,2019-Apr-Jun,2019-Jul-Sep,2019-Oct-Dec,NA,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec
RIAU,KOTA DUMAI,86,92,87,84,84,91,89,88,89,92,92,95,#DIV/0!,92,87,93,99,#DIV/0!,88,88,93,92,96,95,94,90,83,84,95,96,91,90,89,84,43,0,0,0,0,0,0,#DIV/0!
RIAU,KOTA PEKANBARU,80,81,80,80,87,93,95,90,92,92,92,93,70,89,90,90,87,67,91,87,89,93,89,90,90,92,90,91,91,93,73,71,67,46,9,0,0,0,0,0,0,#DIV/0!
RIAU,KUANTAN SINGINGI,94,100,95,87,92,78,85,84,88,88,92,86,#DIV/0!,95,91,93,98,#DIV/0!,97,96,95,100,100,100,95,94,94,87,95,92,89,85,88,85,29,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,PELALAWAN,71,73,65,69,87,89,97,94,94,98,73,92,#DIV/0!,99,99,99,100,#DIV/0!,96,94,97,97,94,81,88,94,92,85,87,100,85,61,73,92,12,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,ROKAN HILIR,89,88,86,92,82,87,86,91,91,92,91,95,#DIV/0!,93,93,91,94,#DIV/0!,93,94,93,91,94,89,96,82,82,94,90,97,93,95,92,84,34,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,ROKAN HULU,81,81,82,99,34,53,57,71,98,97,96,99,#DIV/0!,95,97,96,98,#DIV/0!,97,92,90,100,95,97,98,96,96,94,92,94,97,91,94,92,32,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,SIAK,76,82,90,83,83,83,88,86,90,88,90,92,#DIV/0!,94,92,96,94,#DIV/0!,89,90,96,93,88,90,91,100,94,100,100,90,88,90,95,73,5,0,0,0,0,0,#DIV/0!,#DIV/0!
KEPRI,BINTAN,91,80,86,92,98,94,87,96,94,96,98,94,80,96,95,95,95,#DIV/0!,83,100,87,83,93,100,87,100,77,67,67,83,64,92,40,38,17,0,0,0,0,0,#DIV/0!,#DIV/0!
KEPRI,KARIMUN,82,86,77,81,84,90,86,89,83,88,83,90,84,89,91,88,94,#DIV/0!,92,93,83,92,100,87,96,100,74,43,12,6,4,5,5,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
KEPRI,KEPULAUAN ANAMBAS,100,100,100,100,90,93,60,17,86,92,95,100,#DIV/0!,76,91,87,100,#DIV/0!,100,77,100,100,100,33,73,50,67,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!
KEPRI,KOTA BATAM,84,82,88,90,93,93,88,90,92,93,90,88,80,75,92,87,88,56,88,84,82,88,83,77,81,79,72,73,73,67,68,55,36,28,8,0,0,0,0,0,0,#DIV/0!
KEPRI,KOTA TANJUNG PINANG,84,92,90,92,79,80,87,93,90,82,88,90,#DIV/0!,88,96,82,85,#DIV/0!,84,83,88,76,88,61,84,85,87,30,23,27,27,12,11,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
KEPRI,LINGGA,73,78,89,91,82,71,91,78,76,84,83,77,#DIV/0!,75,78,76,63,#DIV/0!,70,75,67,67,50,43,55,80,17,33,80,50,56,83,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
KEPRI,NATUNA,87,71,100,86,86,100,90,85,100,83,100,94,#DIV/0!,86,100,96,97,#DIV/0!,100,86,92,100,100,83,60,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
JAMBI,BATANG HARI,77,80,83,74,80,76,83,74,78,86,84,81,#DIV/0!,78,78,80,88,#DIV/0!,56,36,74,54,29,59,42,50,46,56,47,30,38,40,39,23,4,0,0,0,0,0,#DIV/0!,#DIV/0!
JAMBI,BUNGO,52,#DIV/0!,48,4,99,99,100,100,100,99,89,94,#DIV/0!,95,91,94,93,#DIV/0!,80,94,75,74,91,74,79,81,48,48,48,43,53,43,41,21,4,0,0,0,0,0,#DIV/0!,#DIV/0!
JAMBI,KERINCI,85,0,38,0,97,100,94,0,100,97,100,100,#DIV/0!,94,93,100,97,#DIV/0!,77,94,86,80,100,25,92,73,56,46,50,71,71,58,30,33,0,0,0,0,0,0,#DIV/0!,#DIV/0!
